!PROJECT:     Praktikum2022_BlaueKuppe
!LOCATION:    Blaue Kuppe, Eschwege
!DATA:        SRTM1
!OPERATOR:    
!DATE:
!COORDINATES: UTM 32T
!NOTES:       10m resolution (resampled)
!VALUE:     datetime    easting    northing    elev    depth        field1        field2
!UNIT:                      [m]         [m]     [m]      [m]           [x]          [xx]
2022-08-17-12:00:00   572805.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572815.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572825.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572835.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572845.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572855.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572865.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572875.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572885.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572895.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572905.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572915.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572925.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572935.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572945.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572955.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572965.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572975.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572985.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572995.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   571505.42  5668477.78  221.00     0.00          0.00          0.00
2022-08-17-12:00:00   571515.42  5668477.78  221.00     0.00          0.00          0.00
2022-08-17-12:00:00   571525.42  5668477.78  221.00     0.00          0.00          0.00
2022-08-17-12:00:00   571535.42  5668477.78  222.00     0.00          0.00          0.00
2022-08-17-12:00:00   571545.42  5668477.78  222.00     0.00          0.00          0.00
2022-08-17-12:00:00   571555.42  5668477.78  222.00     0.00          0.00          0.00
2022-08-17-12:00:00   571565.42  5668477.78  222.00     0.00          0.00          0.00
2022-08-17-12:00:00   571575.42  5668477.78  222.00     0.00          0.00          0.00
2022-08-17-12:00:00   571585.42  5668477.78  222.00     0.00          0.00          0.00
2022-08-17-12:00:00   571595.42  5668477.78  222.00     0.00          0.00          0.00
2022-08-17-12:00:00   571605.42  5668477.78  222.00     0.00          0.00          0.00
2022-08-17-12:00:00   571615.42  5668477.78  220.00     0.00          0.00          0.00
2022-08-17-12:00:00   571625.42  5668477.78  220.00     0.00          0.00          0.00
2022-08-17-12:00:00   571635.42  5668477.78  220.00     0.00          0.00          0.00
2022-08-17-12:00:00   571645.42  5668477.78  220.00     0.00          0.00          0.00
2022-08-17-12:00:00   571655.42  5668477.78  219.00     0.00          0.00          0.00
2022-08-17-12:00:00   571665.42  5668477.78  219.00     0.00          0.00          0.00
2022-08-17-12:00:00   571675.42  5668477.78  219.00     0.00          0.00          0.00
2022-08-17-12:00:00   571685.42  5668477.78  219.00     0.00          0.00          0.00
2022-08-17-12:00:00   571695.42  5668477.78  216.00     0.00          0.00          0.00
2022-08-17-12:00:00   571705.42  5668477.78  216.00     0.00          0.00          0.00
2022-08-17-12:00:00   571715.42  5668477.78  216.00     0.00          0.00          0.00
2022-08-17-12:00:00   571725.42  5668477.78  216.00     0.00          0.00          0.00
2022-08-17-12:00:00   571735.42  5668477.78  216.00     0.00          0.00          0.00
2022-08-17-12:00:00   571745.42  5668477.78  216.00     0.00          0.00          0.00
2022-08-17-12:00:00   571755.42  5668477.78  216.00     0.00          0.00          0.00
